time,open,high,low,close,volumn
2024-11-13 03:44:00,3220.19,3220.33,3211.83,3213.02,
2024-11-13 03:45:00,3213.02,3218.44,3211.46,3217.68,
2024-11-13 03:46:00,3217.68,3223.11,3215.27,3219.95,
2024-11-13 03:47:00,3219.95,3224.47,3218.93,3221.75,
2024-11-13 03:48:00,3221.75,3223.31,3217.38,3217.65,
2024-11-13 03:49:00,3217.65,3225.63,3217.4,3220.42,
2024-11-13 03:50:00,3220.42,3224.83,3218.76,3224.4,
2024-11-13 03:51:00,3224.4,3228.21,3223.34,3225.82,
2024-11-13 03:52:00,3225.82,3229.04,3222.83,3228.65,
2024-11-13 03:53:00,3228.65,3231.51,3225.49,3226.56,
2024-11-13 03:54:00,3226.56,3227.58,3224.42,3227.48,
2024-11-13 03:55:00,3227.48,3228.99,3223.86,3224.16,
2024-11-13 03:56:00,3224.16,3226.71,3223.85,3225.51,
2024-11-13 03:57:00,3225.51,3225.73,3215.64,3216.19,
2024-11-13 03:58:00,3216.19,3216.19,3204.68,3205.37,
2024-11-13 03:59:00,3205.37,3207.73,3202.0,3207.19,
2024-11-13 04:00:00,3207.19,3215.32,3207.19,3209.7,
2024-11-13 04:01:00,3209.7,3217.4,3207.2,3214.7,
2024-11-13 04:02:00,3214.7,3217.5,3212.04,3216.85,
2024-11-13 04:03:00,3216.85,3219.13,3212.71,3217.02,
2024-11-13 04:04:00,3217.02,3223.45,3215.23,3215.63,
2024-11-13 04:05:00,3215.63,3216.47,3210.01,3213.46,
2024-11-13 04:06:00,3213.46,3217.77,3211.43,3216.52,
2024-11-13 04:07:00,3216.52,3222.5,3216.16,3220.29,
2024-11-13 04:08:00,3220.29,3223.01,3218.59,3219.13,
2024-11-13 04:09:00,3219.13,3219.67,3214.3,3215.92,
2024-11-13 04:10:00,3215.92,3222.26,3213.18,3221.9,
2024-11-13 04:11:00,3221.9,3223.26,3219.16,3219.63,
2024-11-13 04:12:00,3219.63,3222.02,3218.14,3219.25,
2024-11-13 04:13:00,3219.25,3219.83,3217.02,3219.38,
2024-11-13 04:14:00,3219.38,3222.99,3217.73,3222.99,
2024-11-13 04:15:00,3222.99,3223.74,3219.16,3219.6,
2024-11-13 04:16:00,3219.6,3226.57,3218.83,3226.27,
2024-11-13 04:17:00,3226.27,3227.54,3222.09,3222.16,
