time,open,high,low,close,volumn,close_time,transaction_volume,transaction_number,active_buying_volume,active_buying_transaction_volume,ignore
2024-11-07 04:34:00,74774.75,74792.86,74771.81,74792.86,17.22286,1730954099999,1287925.1967983,2204,9.37973,701408.1951448,0
2024-11-07 04:35:00,74792.85,74792.86,74769.95,74770.0,18.2252,1730954159999,1362797.8915842,1015,6.40517,478914.6080558,0
2024-11-07 04:36:00,74770.0,74828.0,74769.99,74822.0,25.03401,1730954219999,1872694.3111453,1726,20.44482,1529346.0849487,0
2024-11-07 04:37:00,74822.0,74822.01,74769.99,74769.99,25.98558,1730954279999,1943259.1247825,2221,4.88649,365406.1852912,0
2024-11-07 04:38:00,74769.99,74770.0,74740.0,74740.01,59.79246,1730954339999,4470134.0974211,2543,26.51605,1982499.6936572,0
2024-11-07 04:39:00,74740.01,74742.0,74730.4,74740.01,59.13164,1730954399999,4419466.4364121,1918,4.03085,301249.3579793,0
2024-11-07 04:40:00,74740.01,74750.0,74728.0,74740.0,64.92056,1730954459999,4852460.9980145,2833,47.52755,3552439.5157506,0
2024-11-07 04:41:00,74740.0,74747.53,74734.48,74739.99,8.6474,1730954519999,646329.3169532,1955,2.78692,208294.0588074,0
2024-11-07 04:42:00,74740.0,74740.0,74679.9,74698.0,42.94565,1730954579999,3208221.3112749,4189,8.38995,626615.7077511,0
2024-11-07 04:43:00,74698.0,74698.0,74676.15,74679.99,18.53108,1730954639999,1384061.6040828,2252,6.33514,473159.1926005,0
2024-11-07 04:44:00,74679.99,74680.0,74631.48,74640.0,42.36317,1730954699999,3162549.5334722,4674,14.14185,1055562.623699,0
2024-11-07 04:45:00,74639.99,74679.95,74626.61,74650.01,23.40391,1730954759999,1747163.3978545,3777,9.71356,725135.7075514,0
2024-11-07 04:46:00,74650.0,74679.95,74650.0,74678.01,13.80729,1730954819999,1031022.6966103,1984,4.31786,322384.9044039,0
2024-11-07 04:47:00,74678.0,74679.9,74674.02,74679.9,30.05277,1730954879999,2244305.1390883,849,27.31223,2039654.152176,0
2024-11-07 04:48:00,74679.9,74679.9,74674.03,74679.9,60.7455,1730954939999,4536460.1463482,1798,55.96518,4179469.5911193,0
